TCKN,Cinsiyet,Yas,akyuvarSayisi,kronikHastalik,vefat
658446640,Erkek,58,10704,0,0
407948055,Erkek,40,15037,1,0
947465269,Kadın,78,9575,1,1
466121663,Kadın,22,4022,0,1
458146605,Erkek,15,10298,1,0
278420251,Erkek,41,9988,1,1
352947364,Kadın,47,2928,0,1
213858744,Kadın,80,10683,1,1
950587900,Erkek,2,7787,0,0
174878077,Kadın,47,15206,0,0
311548645,Erkek,54,7337,1,1
542593083,Kadın,58,8073,0,0
765436813,Kadın,13,9264,1,1
910683646,Kadın,33,19383,1,0
627531921,Kadın,51,4232,1,1
939062679,Kadın,32,5397,0,0
565350506,Erkek,58,11703,1,1
553723923,Kadın,51,9665,0,0
438199298,Erkek,34,4191,1,1
360322224,Kadın,36,13804,1,1
833141918,Erkek,29,8754,1,0
254071394,Kadın,36,12301,0,0
498392764,Kadın,18,4097,0,0
486484290,Erkek,44,13572,0,0
374998897,Erkek,41,8318,0,0
516788326,Erkek,42,9198,0,0
551724236,Erkek,10,15810,1,0
328529193,Kadın,12,6098,1,0
551763878,Erkek,6,1577,1,0
735110017,Erkek,21,12899,1,0
249970180,Kadın,40,10755,0,0
851397699,Kadın,83,18948,0,0
174724069,Kadın,86,17018,1,1
179849358,Kadın,61,15418,1,1
499174268,Kadın,11,9906,0,0
453311495,Kadın,47,19813,1,0
443240467,Kadın,35,15834,1,0
525818689,Kadın,46,10903,1,0
610210481,Kadın,2,7160,1,0
294553166,Kadın,81,1264,0,1
237112207,Kadın,36,11563,0,0
416784264,Erkek,69,10340,1,1
643118652,Kadın,20,2631,1,1
611125178,Erkek,28,9090,0,0
261421612,Erkek,20,10952,0,0
347927440,Erkek,25,18371,0,0
951443879,Erkek,59,12681,0,0
577064952,Erkek,88,15790,0,0
690152142,Erkek,56,4671,0,0
710864832,Erkek,65,6128,0,0
483507018,Erkek,12,14179,0,0
497345824,Erkek,29,12480,1,0
939053527,Kadın,13,9984,1,0
485318242,Kadın,60,14934,1,1
418659944,Kadın,23,15203,0,0
714999132,Erkek,68,18620,0,0
581322824,Erkek,54,10757,1,1
955957652,Erkek,61,19508,1,1
363025105,Erkek,35,7903,1,1
645414561,Kadın,53,11557,1,1
754211968,Erkek,66,6672,1,1
913613478,Erkek,59,2947,1,1
564744533,Erkek,55,10971,1,1
877203758,Kadın,34,18092,1,1
860117711,Erkek,7,9292,1,0
941083037,Erkek,24,7992,1,0
173759593,Kadın,11,9038,1,0
818049426,Erkek,21,8197,1,0
915452551,Erkek,41,1744,1,1
513761568,Erkek,48,1730,0,0
686137549,Erkek,1,5751,1,0
771533499,Erkek,38,5807,1,1
312477346,Kadın,40,1882,0,0
786085262,Kadın,23,9009,0,0
723333547,Kadın,62,6559,0,0
699379757,Kadın,61,13863,0,0
702291636,Erkek,19,17174,0,0
437676699,Erkek,62,7256,0,0
693379780,Kadın,20,6591,0,0
180583756,Kadın,41,10769,0,0
954405399,Erkek,82,9206,0,0
765887207,Erkek,63,19230,1,1
371208791,Kadın,3,5580,1,0
784913778,Kadın,69,22344,1,0
197079199,Kadın,33,8040,1,1
374324538,Erkek,72,15107,0,0
372069578,Erkek,82,15023,1,1
421555655,Kadın,13,1164,1,1
501937330,Erkek,24,6379,1,1
283149658,Kadın,4,8263,0,0
514925259,Erkek,61,9681,0,0
514925259,Erkek,61,4681,0,1
656332841,Erkek,44,18921,1,1
593558231,Erkek,71,1768,0,1
320934336,Erkek,27,4058,0,0
710512210,Kadın,68,4341,1,1
904357755,Erkek,55,1998,1,0
637453688,Erkek,30,6354,0,0
289770301,Erkek,29,17892,0,0
554253129,Erkek,52,9215,0,0
565352917,Kadın,86,8978,1,1
833722325,Erkek,25,4243,0,0
341518137,Kadın,10,16204,1,0
210067883,Kadın,44,12315,1,0
671467092,Erkek,24,16130,1,0
702666206,Kadın,28,13552,1,1
320756250,Kadın,29,12287,1,1
522912389,Erkek,67,8051,0,1
522912389,Erkek,67,4051,1,1
522912489,Erkek,67,12051,0,0
499659192,Erkek,86,9142,0,0
742320771,Erkek,19,9843,0,0
771710436,Kadın,6,14768,0,0
338900847,Erkek,47,11394,0,0
340688500,Erkek,42,8088,0,0
330141427,Erkek,43,12848,0,0
549756687,Erkek,52,4095,0,1
261047161,Erkek,55,19390,0,0
778935003,Erkek,23,3199,0,0
932665544,Erkek,86,17374,0,1
461968866,Erkek,9,15563,1,1
766769812,Kadın,12,17314,0,0
375529980,Kadın,3,3274,0,0
864354664,Kadın,4,9322,0,0
830755409,Erkek,83,11264,0,1
680418127,Erkek,46,19058,0,0
501957878,Erkek,17,7872,0,0
932070365,Erkek,32,2019,0,1
817040849,Erkek,43,3162,1,0
559072979,Erkek,84,5808,1,1
216710853,Erkek,2,16001,0,0
162580873,Erkek,74,10442,1,0
465712763,Kadın,76,14996,0,0
351795366,Erkek,46,2867,1,1
263966018,Erkek,32,12668,0,0
923012172,Erkek,37,18469,1,0
206566158,Erkek,24,18428,1,0
588724394,Kadın,44,18527,1,0
197145307,Kadın,64,11695,1,0
705188554,Erkek,59,6456,1,0
392154303,Kadın,83,4706,1,1
371204886,Erkek,78,9434,1,1
541039573,Kadın,87,18120,1,1
830520979,Kadın,87,15624,1,1
596002813,Erkek,88,15978,0,0
769937311,Kadın,52,3102,1,1
185867446,Erkek,48,2687,0,1
615067772,Erkek,70,10880,0,0
402514221,Kadın,26,4069,0,0
193626678,Kadın,4,4947,0,0
180834956,Erkek,52,5978,0,1
904828260,Kadın,15,6754,0,0
302113346,Kadın,7,12256,0,0
